source,target,role,character
Trấn Thành,Cổng mặt trời (phim truyền hình),actor,Bạn của Quốc
Trấn Thành,Chuyện tình mùa thu,actor,Bảo
Trấn Thành,Công chúa teen và ngũ hổ tướng,actor,MC Trấn Thành
Trấn Thành,Gia sư nữ quái,actor,Lê Thắng Trí
Trấn Thành,Cua lại vợ bầu,actor,Trọng Thoại
Trấn Thành,Bố già (phim 2021),director,ông Ba Sang
Trấn Thành,Nhà bà Nữ,director,Phú Nhuận
Trấn Thành,Mai (phim),director,ông Hoàng
Trấn Thành,Bộ tứ báo thủ,director,cậu Mười Một
Ninh Dương Lan Ngọc,Cua lại vợ bầu,actor,Nhã Linh
Ninh Dương Lan Ngọc,Nhân tình lạc lối,actor,Mai
Ninh Dương Lan Ngọc,Nguyệt thực (phim truyền hình),actor,Mỹ Khanh
Ninh Dương Lan Ngọc,Cánh đồng bất tận (phim),actor,Nương
Ninh Dương Lan Ngọc,Long Ruồi,actor,Xuân
Ninh Dương Lan Ngọc,Tèo em,actor,Minh Minh
Ninh Dương Lan Ngọc,Trúng số (phim 2015),actor,Thơm
Ninh Dương Lan Ngọc,Tấm Cám: Chuyện chưa kể,actor,Cám
Ninh Dương Lan Ngọc,Cô Ba Sài Gòn,actor,Như Ý
Ninh Dương Lan Ngọc,Gái già lắm chiêu 3,actor,Quyên
Ngô Thanh Vân,Tấm Cám: Chuyện chưa kể,director,Dì ghẻ
Ngô Thanh Vân,Cô Ba Sài Gòn,actor,bà Thanh Mai
Ngô Thanh Vân,Bẫy rồng,actor,Trinh / Phượng hoàng
Ngô Thanh Vân,Ngôi nhà trong hẻm,actor,Thảo
Ngô Thanh Vân,Lửa Phật,actor,Ánh
Ngô Thanh Vân,Về quê ăn Tết,actor,Đậu Xanh
Ngô Thanh Vân,Hai Phượng,actor,Hai Phượng
Ngô Thanh Vân,Thanh Sói – Cúc dại trong đêm,director,Dì Lin Jacqueline
Kiều Minh Tuấn,Bụi đời Chợ Lớn,actor,Tiến
Kiều Minh Tuấn,Em chưa 18,actor,Hoàng
Kiều Minh Tuấn,Năm sau con lại về,actor,nhân viên bảo vệ
Kiều Minh Tuấn,Nghề siêu dễ (phim 2022),actor,Phú Tạp Hóa
Kiều Minh Tuấn,Tiệc trăng máu,actor,Nhật Linh
Victor Vũ,Chuyện tình xa xứ,director,
Victor Vũ,Giao lộ định mệnh,director,
Victor Vũ,Cô dâu đại chiến,director,
Victor Vũ,Thiên mệnh anh hùng,director,
Victor Vũ,Scandal: Bí mật thảm đỏ,director,
Victor Vũ,Cô dâu đại chiến 2,director,
Victor Vũ,Quả tim máu,director,
Victor Vũ,Tôi thấy hoa vàng trên cỏ xanh (phim),director,
Victor Vũ,Mắt biếc (phim),director,
Victor Vũ,Thiên thần hộ mệnh,director,
Victor Vũ,Trại hoa đỏ (phim),director,
Charlie Nguyễn,Long Ruồi,director,
Charlie Nguyễn,Tèo em,director,
Charlie Nguyễn,Dòng máu anh hùng,director,
Charlie Nguyễn,Vật đổi sao dời,director,
Charlie Nguyễn,Để Mai tính,director,Antoine
Charlie Nguyễn,Cưới ngay kẻo lỡ,director,
