source,target,film_count,films,collaboration_types,weight
Trấn Thành,Uyển Ân,3,"Nhà bà Nữ, Mai (phim), Bộ tứ báo thủ",director-actor,3.3
Trấn Thành,Lê Giang,2,"Nhà bà Nữ, Bộ tứ báo thủ",actor-director,2.0
Trấn Thành,Song Luân,1,Nhà bà Nữ,actor-director,1.0
Trấn Thành,Khả Như,3,"Nhà bà Nữ, Cua lại vợ bầu, Mai (phim)","actor-actor, actor-director",3.0
Trấn Thành,Ngọc Giàu,4,"Nhà bà Nữ, Bố già (phim 2021), Mai (phim), Bộ tứ báo thủ",actor-director,4.0
Trấn Thành,Quỳnh Lý,1,Nhà bà Nữ,actor-director,1.0
Trấn Thành,Phương Lan,1,Nhà bà Nữ,actor-director,1.0
Trấn Thành,Lê Dương Bảo Lâm,2,"Nhà bà Nữ, Bộ tứ báo thủ",actor-director,2.5
Trấn Thành,Công Ninh,3,"Nhà bà Nữ, Cổng mặt trời (phim truyền hình), Chuyện tình mùa thu","actor-actor, actor-director",3.0
Trấn Thành,Ngân Quỳnh,1,Nhà bà Nữ,actor-director,1.0
Trấn Thành,Ngọc Lan (diễn viên),1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Lê Bê La,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Nguyệt Ánh,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Tú Vi,1,Cổng mặt trời (phim truyền hình),actor-actor,1.3
Trấn Thành,Kha Ly,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Hiền Trang,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Lương Thế Thành,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Hùng Thuận,1,Cổng mặt trời (phim truyền hình),actor-actor,1.3
Trấn Thành,Hòa Hiệp (diễn viên),1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Đình Hiếu,2,"Cổng mặt trời (phim truyền hình), Gia sư nữ quái",actor-actor,2.3
Trấn Thành,Nguyễn Lê Bá Thắng,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Ánh Hoa,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Kim Phương,2,"Cổng mặt trời (phim truyền hình), Mai (phim)","actor-actor, actor-director",2.0
Trấn Thành,Huỳnh Anh Tuấn,2,"Cổng mặt trời (phim truyền hình), Chuyện tình mùa thu",actor-actor,2.0
Trấn Thành,Kinh Quốc,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Văn Ruy,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Phùng Ngọc Huy,1,Cổng mặt trời (phim truyền hình),actor-actor,1.3
Trấn Thành,Mai Phương (diễn viên),1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Quang Thảo,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Thiên Kim (diễn viên),1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Phi Điểu,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Hoàng Lan (nghệ sĩ),1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Hải Lý,2,"Cổng mặt trời (phim truyền hình), Chuyện tình mùa thu",actor-actor,2.0
Trấn Thành,Bảo Giang,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Hữu Thạch,3,"Cổng mặt trời (phim truyền hình), Công chúa teen và ngũ hổ tướng, Cua lại vợ bầu",actor-actor,3.0
Trấn Thành,Huy Cường,2,"Cổng mặt trời (phim truyền hình), Chuyện tình mùa thu",actor-actor,2.0
Trấn Thành,Quách Khoa Nam,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Nguyễn Sanh,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Bích Hằng,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Huỳnh Ngân,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Thủy Cúc,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Lâm Hải Sơn,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Kim Phượng,2,"Cổng mặt trời (phim truyền hình), Chuyện tình mùa thu",actor-actor,2.0
Trấn Thành,Hoài An,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Thái Quốc Nguyên,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Huỳnh Ngọc Lan (Lan Mập),1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Hồng Anh,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Thảo Ly,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Bảo Khương,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Thành Bỉ,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Minh Cường,2,"Cổng mặt trời (phim truyền hình), Gia sư nữ quái",actor-actor,2.0
Trấn Thành,Thanh Long Trẻ,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Hồng Thy,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Bảo Tâm,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Hồng Hạnh,1,Cổng mặt trời (phim truyền hình),actor-actor,1.0
Trấn Thành,Nguyễn Dương,1,Cổng mặt trời (phim truyền hình),director-actor,1.0
Trấn Thành,Khương Ngọc,1,Chuyện tình mùa thu,actor-actor,1.0
Trấn Thành,Thanh Trúc,1,Chuyện tình mùa thu,actor-actor,1.3
Trấn Thành,Kim Xuân,1,Chuyện tình mùa thu,actor-actor,1.0
Trấn Thành,Trọng Nhân,1,Chuyện tình mùa thu,actor-actor,1.0
Trấn Thành,Diệu Đức,1,Chuyện tình mùa thu,actor-actor,1.0
Trấn Thành,Mã Trung,1,Chuyện tình mùa thu,actor-actor,1.0
Trấn Thành,Quốc Hùng,1,Chuyện tình mùa thu,actor-actor,1.0
Trấn Thành,Lục Diệp,1,Chuyện tình mùa thu,actor-actor,1.0
Trấn Thành,Lập Xuân,1,Chuyện tình mùa thu,actor-actor,1.0
Trấn Thành,Lộc Uyển,1,Chuyện tình mùa thu,actor-actor,1.0
Trấn Thành,Quách Hữu Lộc,1,Chuyện tình mùa thu,actor-actor,1.0
Trấn Thành,Bảo Thy,2,"Công chúa teen và ngũ hổ tướng, Gia sư nữ quái",actor-actor,2.3
Trấn Thành,Yến Trang,1,Công chúa teen và ngũ hổ tướng,actor-actor,1.3
