person1,person2,weight,film_count,films,collaboration_types,same_school,school,same_location,location
Trấn Thành,Bảo Thy,2.3,2,Công chúa teen và ngũ hổ tướng|Gia sư nữ quái,actor-actor,False,,True,"Thành phố Hồ Chí Minh, Việt Nam"
Trấn Thành,Yến Trang,1.3,1,Công chúa teen và ngũ hổ tướng,actor-actor,False,,True,"Thành phố Hồ Chí Minh, Việt Nam"
Trấn Thành,Hoài Linh,2.0,2,Công chúa teen và ngũ hổ tướng|Gia sư nữ quái,actor-actor,False,,False,
Trấn Thành,Tấn Beo,1.3,1,Công chúa teen và ngũ hổ tướng,actor-actor,False,,True,"Thành phố Hồ Chí Minh, Việt Nam"
Trấn Thành,Chí Tài,2.0,2,Công chúa teen và ngũ hổ tướng|Gia sư nữ quái,actor-actor,False,,False,
Trấn Thành,Mạnh Tràng,1.0,1,Công chúa teen và ngũ hổ tướng,actor-actor,False,,False,
Trấn Thành,Hiếu Hiền,1.3,1,Công chúa teen và ngũ hổ tướng,actor-actor,False,,True,"Thành phố Hồ Chí Minh, Việt Nam"
Trấn Thành,Khổng Tú Quỳnh,1.3,1,Công chúa teen và ngũ hổ tướng,actor-actor,False,,True,"Thành phố Hồ Chí Minh, Việt Nam"
Trấn Thành,Hoàng Sơn (diễn viên),1.0,1,Công chúa teen và ngũ hổ tướng,actor-actor,False,,False,
Trấn Thành,Chí Thiện (ca sĩ),1.3,1,Công chúa teen và ngũ hổ tướng,actor-actor,False,,True,"Thành phố Hồ Chí Minh, Việt Nam"
Trấn Thành,Ưng Hoàng Phúc,1.0,1,Công chúa teen và ngũ hổ tướng,actor-actor,False,,False,
Trấn Thành,Đông Nhi,1.0,1,Công chúa teen và ngũ hổ tướng,actor-actor,False,,False,
Trấn Thành,Noo Phước Thịnh,1.3,1,Công chúa teen và ngũ hổ tướng,actor-actor,False,,True,"Thành phố Hồ Chí Minh, Việt Nam"
Trấn Thành,Ngô Kiến Huy,1.3,1,Công chúa teen và ngũ hổ tướng,actor-actor,False,,True,"Thành phố Hồ Chí Minh, Việt Nam"
Trấn Thành,Phước Sang,1.0,1,Công chúa teen và ngũ hổ tướng,actor-actor,False,,False,
Trấn Thành,Việt Anh (nghệ sĩ),5.0,5,Công chúa teen và ngũ hổ tướng|Bố già (phim 2021)|Nhà bà Nữ|Mai (phim)|Bộ tứ báo thủ,director-actor|actor-actor,False,,False,
Trấn Thành,Tuyết Thu,1.0,1,Công chúa teen và ngũ hổ tướng,actor-actor,False,,False,
Trấn Thành,Bảo Quốc,1.0,1,Công chúa teen và ngũ hổ tướng,actor-actor,False,,False,
Trấn Thành,hủ tiếu,1.0,1,Công chúa teen và ngũ hổ tướng,actor-actor,False,,False,
Trấn Thành,Phi Phụng,1.0,1,Công chúa teen và ngũ hổ tướng,actor-actor,False,,False,
Trấn Thành,Phương Trinh Jolie,1.0,1,Công chúa teen và ngũ hổ tướng,actor-actor,False,,False,
Trấn Thành,Tấn Bo,1.0,1,Công chúa teen và ngũ hổ tướng,actor-actor,False,,False,
Trấn Thành,Kim Ngọc (nghệ sĩ),1.0,1,Công chúa teen và ngũ hổ tướng,actor-actor,False,,False,
Trấn Thành,Isaac (ca sĩ),1.0,1,Gia sư nữ quái,actor-actor,False,,False,
Trấn Thành,Dương Cẩm Lynh,1.0,1,Gia sư nữ quái,actor-actor,False,,False,
Trấn Thành,Ninh Dương Lan Ngọc,1.8,1,Cua lại vợ bầu,actor-actor,True,Trường Đại học Sân khấu – Điện ảnh Thành phố Hồ Chí Minh,True,"Thành phố Hồ Chí Minh, Việt Nam"
Trấn Thành,Anh Tú (sinh 1993),1.5,1,Cua lại vợ bầu,actor-actor,True,Trường Đại học Sân khấu – Điện ảnh Thành phố Hồ Chí Minh,False,
Trấn Thành,Mạc Văn Khoa,1.0,1,Cua lại vợ bầu,actor-actor,False,,False,
Trấn Thành,Khả Như,3.0,3,Cua lại vợ bầu|Nhà bà Nữ|Mai (phim),actor-actor|actor-director,False,,False,
Trấn Thành,Hữu Châu,1.0,1,Cua lại vợ bầu,actor-actor,False,,False,
Trấn Thành,Lê Giang (nghệ sĩ),2.0,2,Cua lại vợ bầu|Bố già (phim 2021),actor-actor|actor-director,False,,False,
