person_id,name,birth_date,birth_place,occupation,education,nationality,dân tộc,active_years,height,spouse,children,relatives,notable_works
Trấn Thành,Trấn Thành,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, Nghệ sĩ hài, Người dẫn chương trình, Doanh nhân, Nhà làm phim",Trường Đại học Sân khấu – Điện ảnh Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2006–nay,"1,71m",Hari Won (2016),,* Huỳnh Trinh Mi ((em gái)) * Huỳnh Uyển Ân ((em gái)),Danh sách
Ninh Dương Lan Ngọc,Ninh Dương Lan Ngọc,birth_date,"Thành phố Hồ Chí Minh, Việt Nam",Diễn viên,Trường Đại học Sân khấu – Điện ảnh Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2009–nay,,,,,
Ngô Thanh Vân,Ngô Thanh Vân,birth_date,"Hòa Ân, Cầu Kè, Trà Vinh, Việt Nam","Diễn viên, Ca sĩ, Người mẫu, Vũ công, Nhà làm phim, Doanh nhân",,Na Uy,ethnicity,1999–nay,"1,71m",Huy Trần (2022),1,,
Hồng Đào,Hồng Đào,birth_date,"Buôn Ma Thuột, Đắk Lắk, Việt Nam Cộng hòa",Diễn viên,,,ethnicity,1981nay,,Quang Minh (1995),2,,
Kiều Minh Tuấn,Kiều Minh Tuấn,birth_date,"Thành phố Hồ Chí Minh, Việt Nam",Diễn viên,Trường Đại học Sân khấu - Điện ảnh Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2010 – nay,"1,74m",,,,
Victor Vũ,Victor Vũ,birth_date,"Bắc Hollywood, Los Angeles, California, Mỹ",Nhà làm phim,,"Hoa Kỳ, Việt Nam",ethnicity,1997–nay,,Đinh Ngọc Diệp (2016),2,,
Charlie Nguyễn,Charlie Nguyễn,birth_date,"Sài Gòn, Việt Nam Cộng hòa",Nhà làm phim,,"Hoa Kỳ, Việt Nam",ethnicity,1988–nay,,Diane Nguyễn (1995),1,* Johnny Trí Nguyễn ((em trai)) * Tawny Trúc Nguyễn ((em gái)) * Nguyễn Chánh Tín ((cháu ruột)),
Vũ Ngọc Đãng,Vũ Ngọc Đãng,birth_date,"Thái Bình, Việt Nam Dân chủ Cộng hòa","Đạo diễn phim, Nhà biên kịch phim, Nhà sản xuất phim",Đại học Sân khấu - Điện ảnh TP HCM,Việt Nam,ethnicity,2001 - nay,,,,,''Bỗng dưng muốn khóc'' ''Hot boy nổi loạn'' ''Vừa đi vừa khóc'' ''Khi con là nhà'' ''Bố già'' ''Chị chị em em 2'' ''Con Nhót Mót Chồng'' ''Cô dâu hào môn''
Kaity Nguyễn,Kaity Nguyễn,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên, Người mẫu",,,ethnicity,2017–nay,,,,,
Jun Vũ,Jun Vũ,birth_date,"Hà Nội, Việt Nam",*Diễn viên *Người dẫn chương trình *Người mẫu,,Việt Nam,ethnicity,,"1,6m",,,,
Mạnh Trường,Mạnh Trường,birth_date,"Hà Nội, Việt Nam","Diễn viên, Người mẫu",,Việt Nam,ethnicity,2001 – nay,"1,82m",,3,,
Phương Oanh (diễn viên),Phương Oanh (diễn viên),birth_date,"Phủ Lý, Hà Nam Ninh, Việt Nam","Diễn viên, Người mẫu, Ca sĩ",,Việt Nam,ethnicity,2012nay,"1,67m",Nguyễn Hòa Bình (2023),2,,
Bảo Thy,Bảo Thy,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Ca sĩ, Nhạc sĩ, Diễn viên",,Việt Nam,ethnicity,2006–nay,"1,66m",Nguyễn Phan Lĩnh (2019),1,,
Yến Trang,Yến Trang,birth_date,"Thành phố Hồ Chí Minh, Việt Nam",Ca sĩ Diễn viên người dẫn chương trình,,Việt Nam,ethnicity,2000nay,,,,,
Hoài Linh,Hoài Linh,birth_date,"Cam Ranh, Khánh Hòa, Việt Nam Cộng hòa","Diễn viên, Nghệ sĩ hài",,Việt Nam,ethnicity,1987–nay,,Lê Thanh Hương (1996),2,* Phương Trang ((em gái)) * Dương Triệu Vũ ((em trai)) * Hoài Lâm ((con nuôi)),
Tấn Beo,Tấn Beo,birth_date,"Thành phố Hồ Chí Minh, Việt Nam",Diễn viên,,Việt Nam,ethnicity,,,Phùng Thị Dung (1993),3,Tấn Bo (em trai),
Chí Tài,Chí Tài,birth_date,"Phú Nhuận, Gia Định, Việt Nam Cộng hòa","Diễn viên, Ca sĩ, Nhạc sĩ, Nhạc công",,,ethnicity,1976 – 2020,,Phương Loan (1987),,,
Mạnh Tràng,Mạnh Tràng,birth_date,"Long An, Việt Nam Cộng hòa","Diễn viên hài, diễn viên điện ảnh, diễn viên sân khấu kịch",,Việt Nam,ethnicity,,,,,,
Hiếu Hiền,Hiếu Hiền,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Diễn viên hài, Diễn viên điện ảnh, MC",,Việt Nam,ethnicity,2003 – nay,,,,,
Khổng Tú Quỳnh,Khổng Tú Quỳnh,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Ca sĩ, Diễn viên",,Việt Nam,ethnicity,2005nay,,,,,
Hoàng Sơn (diễn viên),Hoàng Sơn (diễn viên),birth_date,"Thủ Dầu Một, Bình Dương, Việt Nam Cộng hòa",Diễn viên,,,ethnicity,1985 - nay,,,,,
Chí Thiện (ca sĩ),Chí Thiện (ca sĩ),birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Ca sĩ, Diễn viên, MC",,Việt Nam,ethnicity,2008 – nay,,,,,
Ưng Hoàng Phúc,Ưng Hoàng Phúc,birth_date,"Kiến An, Chợ Mới, An Giang, Việt Nam","Ca sĩ, Diễn viên, Vũ công",,Việt Nam,ethnicity,2000–nay,,Võ Kim Cương (2018),2,,
Đông Nhi,Đông Nhi,birth_date,"Hà Nội, Việt Nam","Ca sĩ, Nhạc sĩ, Diễn viên, Nhà sản xuất thu âm",* Trường Trung học phổ thông Marie Curie * Nhạc viện Thành phố Hồ Chí Minh,Việt Nam,ethnicity,2008–nay,"1,66m",Ông Cao Thắng (2019),2,,Danh sách
Noo Phước Thịnh,Noo Phước Thịnh,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Ca sĩ, Diễn viên, Vũ công",,Việt Nam,ethnicity,2008–nay,"1,72m",,,,
Ngô Kiến Huy,Ngô Kiến Huy,birth_date,"Thành phố Hồ Chí Minh, Việt Nam","Ca sĩ, Diễn viên, Người dẫn chương trình",,Việt Nam,ethnicity,2008–nay,"1,75m",,1,,
Phước Sang,Phước Sang,birth_date,"Sài Gòn, Việt Nam Cộng hòa","Diễn viên, Nhà sản xuất điện ảnh",,Việt Nam,ethnicity,,,Kim Thư (2007),2,,
Việt Anh (nghệ sĩ),Việt Anh (nghệ sĩ),birth_date,"Sài Gòn, Việt Nam Cộng hòa",Diễn viên,,Việt Nam,ethnicity,,,,1,,
Tuyết Thu,Tuyết Thu,birth_date,"Sài Gòn, Việt Nam Cộng hòa",Diễn viên,,,ethnicity,2002&ndash;nay,,,,,
Bảo Quốc,Bảo Quốc,birth_date,,Diễn viên,,Việt Nam,ethnicity,,,Nguyễn Ngọc Thu Thủy,Hồng Loan,,
hủ tiếu,hủ tiếu,birth_date,,,,,ethnicity,,,,,,
Phi Phụng,Phi Phụng,birth_date,"Trà Vinh, Việt Nam Cộng hòa","Diễn viên truyền hình, Diễn viên điện ảnh, Diễn viên kịch nói, Diễn viên hài",,Việt Nam,ethnicity,,"1,55m","''Không rõ tên'' , (cưới 1984, mất 2017)","Phi Hạt, Phi Mí, Sáu Chôm, Tư Nước",,
Phương Trinh Jolie,Phương Trinh Jolie,birth_date,,,,,ethnicity,,,,,,
Tấn Bo,Tấn Bo,birth_date,"Sài Gòn, Việt Nam cộng hòa",Diễn viên,,Việt Nam,ethnicity,1998nay,,Xuân Nhi (1999),4,Tấn Beo (anh trai),
Kim Ngọc (nghệ sĩ),Kim Ngọc (nghệ sĩ),birth_date,"Thủ Đức, Gia Định, Liên bang Đông Dương",Nghệ sĩ,,Việt Nam,ethnicity,,,Đức Lang,Hiếu Hiền,,"Hoa Mộc Lan tùng chinh, Hàn Mặc Tử, Kiều Nguyệt Nga, Hoa hậu vũ trụ, Bà ngoại thời @, Câu chuyện cái tivi"
Isaac (ca sĩ),Isaac (ca sĩ),birth_date,"Cần Thơ, Việt Nam","Ca sĩ, Diễn viên",,Việt Nam,ethnicity,,"1,72m",,,,
Dương Cẩm Lynh,Dương Cẩm Lynh,birth_date,"Long Khánh, Đồng Nai, Việt Nam",Diễn viên,,Việt Nam,ethnicity,1999–nay,"1,65m",Phạm Việt Anh Khoa (2014),2,,
Anh Tú (sinh 1993),Anh Tú (sinh 1993),birth_date,"Hà Nội, Việt Nam","Diễn viên, Ca sĩ",Trường Đại học Sân khấu – Điện ảnh Thành phố Hồ Chí Minh,,ethnicity,2012–nay,"1,73m","Diệu Nhi, 2022",,,
Mạc Văn Khoa,Mạc Văn Khoa,birth_date,"Chí Linh, Hải Dương, Việt Nam","Diễn viên, Nghệ sĩ hài",,,ethnicity,2015 – nay,"1,75m",Thảo Vy (2020),1,,
Khả Như,Khả Như,birth_date,"Ngã Bảy, Hậu Giang, Việt Nam","Diễn viên, Người dẫn chương trình",,Việt Nam,ethnicity,,"1,60m",,,,
Hữu Châu,Hữu Châu,birth_date,"Sài Gòn, Việt Nam Cộng hòa",Diễn viên,,Việt Nam,ethnicity,,,,,,
Lê Giang (nghệ sĩ),Lê Giang (nghệ sĩ),birth_date,"Vĩnh Long, Việt Nam Cộng hòa","Diễn viên, Nghệ sĩ hài, Nghệ sĩ cải lương",,Việt Nam,ethnicity,1987–nay,,"Duy Phương (1992), Đã kết hôn (2009)",3,,Danh sách
Quang Minh - Hồng Đào,Quang Minh - Hồng Đào,birth_date,,,,,ethnicity,,,,,,
Trung Dân,Trung Dân,birth_date,"Nhị Bình, Hóc Môn, Gia Định, Việt Nam Cộng hòa",Diễn viên,,Việt Nam,ethnicity,,,Phạm Thị Phương,2,,
Hari Won,Hari Won,birth_date,"Seoul, Hàn Quốc","Ca sĩ, Diễn viên, Người dẫn chương trình","Trường Đại học Khoa học Xã hội và Nhân văn, Đại học Quốc gia Thành phố Hồ Chí Minh",Việt Nam,ethnicity,2012 – nay,"1,68m",Trấn Thành (2016),,,
Thuận Hoàng,Thuận Hoàng,birth_date,,,,,ethnicity,,,,,,
