person_name,film_title,character,role
Trấn Thành,Công chúa teen và ngũ hổ tướng,MC Trấn Thành,actor
Trấn Thành,Gia sư nữ quái,Lê Thắng Trí,actor
Trấn Thành,Cua lại vợ bầu,Trọng Thoại,actor
Trấn Thành,Đất rừng phương Nam (phim),thầy giáo Bảy,actor
Ninh Dương Lan Ngọc,Cua lại vợ bầu,Nhã Linh,actor
Ninh Dương Lan Ngọc,Long Ruồi,Xuân,actor
Ninh Dương Lan Ngọc,Tèo em,Minh Minh,actor
Ninh Dương Lan Ngọc,Trúng số (phim 2015),Thơm,actor
Ninh Dương Lan Ngọc,Tấm Cám: Chuyện chưa kể,Cám,actor
Ninh Dương Lan Ngọc,Cô Ba Sài Gòn,Như Ý,actor
Ninh Dương Lan Ngọc,Gái già lắm chiêu 3,Quyên,actor
Ngô Thanh Vân,Cô Ba Sài Gòn,bà Thanh Mai,actor
Ngô Thanh Vân,Dòng máu anh hùng,Sỹ,actor
Ngô Thanh Vân,Bẫy rồng,Trinh / Phượng hoàng,actor
Ngô Thanh Vân,Ngôi nhà trong hẻm,Thảo,actor
Ngô Thanh Vân,Lửa Phật,Ánh,actor
Ngô Thanh Vân,Về quê ăn Tết,Đậu Xanh,actor
Ngô Thanh Vân,Hai Phượng,Hai Phượng,actor
Kiều Minh Tuấn,Em chưa 18,Hoàng,actor
Kiều Minh Tuấn,Tiệc trăng máu,Nhật Linh,actor
Kiều Minh Tuấn,Năm sau con lại về,nhân viên bảo vệ,actor
Kiều Minh Tuấn,Nghề siêu dễ (phim 2022),Phú Tạp Hóa,actor
Charlie Nguyễn,Để Mai tính,Antoine,actor
Charlie Nguyễn,Để mai tính,Antoine,actor
Vũ Ngọc Đãng,Nụ hôn thần chết (phim),Ăn cướp,actor
Vũ Ngọc Đãng,Nụ hôn thần chết,Ăn cướp,actor
Kaity Nguyễn,Gái già lắm chiêu V: Những cuộc đời vương giả,Lý Linh,actor
Kaity Nguyễn,Em chưa 18,Linh Đan,actor
Kaity Nguyễn,Hồn papa da con gái,Châu,actor
Kaity Nguyễn,Tiệc trăng máu,Kathy,actor
Kaity Nguyễn,Tử chiến trên không,Hòa,actor
Kaity Nguyễn,Gái già lắm chiêu V,Lý Linh,actor
Jun Vũ,Gái già lắm chiêu 3,Khánh My,actor
Jun Vũ,Gái già lắm chiêu V: Những cuộc đời vương giả,Lý Lệ Hà lúc trẻ,actor
Jun Vũ,12 chòm sao: Vẽ đường cho yêu chạy,My,actor
Jun Vũ,Tháng năm rực rỡ,Tuyết Anh,actor
Jun Vũ,Gái già lắm chiêu V,Lý Lệ Hà lúc trẻ,actor
Mạnh Trường,Đường lên Điện Biên,Ông bố bản Pía,actor
Bảo Thy,Công chúa teen và ngũ hổ tướng,ca sĩ Britney Bích,actor
Bảo Thy,Gia sư nữ quái,Huỳnh Mai,actor
Yến Trang,Công chúa teen và ngũ hổ tướng,ca sĩ Janet Thu,actor
Hoài Linh,Công chúa teen và ngũ hổ tướng,Kim,actor
Hoài Linh,Gia sư nữ quái,Tàu Hũ,actor
Hoài Linh,Võ lâm truyền kỳ (phim),Đông / Đông Tà,actor
Hoài Linh,Nụ hôn thần chết (phim),Vua Thần Chết,actor
Hoài Linh,Bóng ma học đường,Nam Linh,actor
Hoài Linh,Hoán đổi thân xác,BangBang - nhà khoa học gian xảo,actor
Hoài Linh,Hello cô Ba,Tư Lặn / Cô Ba,actor
Hoài Linh,Nhà có 5 nàng tiên,ông Tiên Cảnh,actor
Hoài Linh,Năm sau con lại về,Sáu xe ôm,actor
Hoài Linh,Tía tui là cao thủ,ông Tư Nho,actor
Hoài Linh,Nụ hôn thần chết,Vua Thần Chết,actor
Tấn Beo,Công chúa teen và ngũ hổ tướng,Mộc,actor
Tấn Beo,Cưới ngay kẻo lỡ,cậu ba,actor
Tấn Beo,Võ lâm truyền kỳ (phim),Tây / Tây Độc,actor
Tấn Beo,Hello cô Ba,Châu Lợi Nhuận,actor
Tấn Beo,Nhà có 5 nàng tiên,Hùng,actor
Tấn Beo,Tía tui là cao thủ,ông Bá,actor
