person_name,film_title,role
Trấn Thành,Bố già (phim 2021),director
Trấn Thành,Nhà bà Nữ,director
Trấn Thành,Mai (phim),director
Trấn Thành,Bộ tứ báo thủ,director
Ngô Thanh Vân,Tấm Cám: Chuyện chưa kể,director
Ngô Thanh Vân,Thanh Sói – Cúc dại trong đêm,director
Ngô Thanh Vân,Thanh Sói - Cúc dại trong đêm,director
Victor Vũ,Giao lộ định mệnh,director
Victor Vũ,Thiên mệnh anh hùng,director
Victor Vũ,Tôi thấy hoa vàng trên cỏ xanh (phim),director
Victor Vũ,Mắt biếc (phim),director
Victor Vũ,Thiên thần hộ mệnh,director
Victor Vũ,Trại hoa đỏ (phim),director
Charlie Nguyễn,Dòng máu anh hùng,director
Vũ Ngọc Đãng,Bố già (phim 2021),director
Vũ Ngọc Đãng,"Hot boy nổi loạn và câu chuyện về thằng Cười, cô gái điếm và con vịt",director
Vũ Ngọc Đãng,Hot boy nổi loạn,director
Huỳnh Đông,Hạnh phúc của mẹ,director
Hồng Ánh,Đảo của dân ngụ cư,director
Mai Thế Hiệp,Thạch Thảo (phim),director
Dustin Nguyễn,Bao giờ có yêu nhau,director
Stephane Gauger,"Yêu đi, đừng sợ!",director
Kathy Uyên,Chị chị em em,director
Võ Thanh Hòa,Siêu lừa gặp siêu lầy,director
Võ Thanh Hòa,Kính vạn hoa: Bắt đền con ma,director
Võ Thanh Hòa,Nghề siêu dễ (phim 2022),director
Leon Lê,Song lang (phim),director
Nguyễn Quang Dũng (đạo diễn),Đất rừng phương Nam (phim),director
Nguyễn Quang Dũng (đạo diễn),Tiệc trăng máu,director
Huỳnh Lập,"Sài Gòn, anh yêu em",director
Mỹ Tâm,Chị trợ lý của anh,director
Lý Hải,Lật mặt (phim),director
Lý Hải,Lật mặt 7: Một điều ước,director
Lý Hải,Lật Mặt 6: Tấm vé định mệnh,director
Lý Hải,Lật mặt,director
Lý Hải,Lật mặt 2: Phim trường,director
Lý Hải,Lật mặt: 48h,director
Lý Hải,Lật mặt 6: Tấm vé định mệnh,director
Trọng Hải,Đường đua (phim năm 2009),director
Ngô Quang Hải,Chuyện của Pao,director
Mai Thu Huyền,Kiều (phim),director
Đỗ Đức Thịnh,"Taxi, em tên gì?",director
