film_id,title,year,genre,country,language,director
Mùi ngò gai,Mùi ngò gai,,"Tâm lý xã hội, Tình cảm, Gia đình",Việt Nam,tiếng Việt,"Kim Hyo-joong, Han Chul-soo, Chu Thiện, Trần Hữu Phúc"
Cô nàng bướng bỉnh,Cô nàng bướng bỉnh,,"Phiêu lưu, hành động, hài hước",,Tiếng Nga,Teodor Vulfovich
Cổng mặt trời (phim truyền hình),Cổng mặt trời (phim truyền hình),,"Tâm lý xã hội, Tình cảm, Hài hước",Việt Nam,tiếng Việt,Nguyễn Dương
Chuyện tình mùa thu,Chuyện tình mùa thu,,"Tình cảm, Tâm lý",Việt Nam,tiếng Việt,Trương Dũng
Một thời ta đuổi bóng,Một thời ta đuổi bóng,,"Tâm lý xã hội, Tình cảm",Việt Nam,tiếng Việt,Trương Dũng
Công chúa teen và ngũ hổ tướng,Công chúa teen và ngũ hổ tướng,,,Việt Nam,Tiếng Việt,Lê Lộc
Gia sư nữ quái,Gia sư nữ quái,,,Việt Nam,Tiếng Việt,Lê Bảo Trung
Cua lại vợ bầu,Cua lại vợ bầu,,,Việt Nam,Tiếng Việt,Nhất Trung
Bố già (phim 2021),Bố già (phim 2021),,,Việt Nam,Tiếng Việt,* Trấn Thành * Vũ Ngọc Đãng
Nhà bà Nữ,Nhà bà Nữ,,,,Tiếng Việt,Trấn Thành
Đất rừng phương Nam (phim),Đất rừng phương Nam (phim),,,Việt Nam,* Tiếng Việt * Tiếng Pháp,Nguyễn Quang Dũng
Mai (phim),Mai (phim),,,Việt Nam,Tiếng Việt,Trấn Thành
Bộ tứ báo thủ,Bộ tứ báo thủ,,,,Tiếng Việt,Trấn Thành
Gia đình phép thuật,Gia đình phép thuật,,"Thiếu nhi, Siêu nhiên, Hài hước",Việt Nam,Tiếng Việt,"Chu Thiện ((phần 1)), Sun Oh ((phần 2))"
Mệnh lệnh Hoa hồng,Mệnh lệnh Hoa hồng,,"Hài hước, Hành động",Việt Nam,tiếng Việt,Võ Thanh Hòa
Vừa đi vừa khóc,Vừa đi vừa khóc,,"Hài hước, Tâm lý xã hội, Tình cảm",,Tiếng Việt,Vũ Ngọc Đãng
Nhân tình lạc lối,Nhân tình lạc lối,,"Tâm lý xã hội, Tình cảm",Việt Nam,tiếng Việt,Lê Bảo Trung
Nguyệt thực (phim truyền hình),Nguyệt thực (phim truyền hình),,"Tâm lý xã hội, Tình cảm",Việt Nam,tiếng Việt,Nguyễn Trọng Hải
Cánh đồng bất tận (phim),Cánh đồng bất tận (phim),,,Việt Nam,Tiếng Việt,Nguyễn Phan Quang Bình
Long Ruồi,Long Ruồi,,,Việt Nam,Tiếng Việt,Charlie Nguyễn
Tèo em,Tèo em,,,25px Việt Nam,Tiếng Việt,Charlie Nguyễn
